<0.0000e+00 0.0000e+00>
<33.08672331665469 0.0>
<99.26175045182649 0.28197813190171256>
<198.52348386978858 1.1280057756837734>
<330.8671434437699 2.820200096518895>
<496.28476276518995 5.640676371796515>
<694.7651863249837 9.871500125495482>
<926.2940675760497 15.794639087765024>
<1190.8538678854677 23.691914997978703>
<1488.423856384731 33.84495526992443>
<1818.9801107258138 46.535144538183104>
<2182.4955187504584 62.04357610512845>
<2578.9397810796054 80.65100330834974>
<3008.2794146294227 102.63779082865751>
<3470.477757059888 128.28386595917814>
<3965.4949721613834 157.86866985637653>
<4493.288056184224 191.67110879416526>
<5053.810845115511 229.96950544256404>
<5647.0140229071385 273.0415501926623>
<6272.845130658207 321.1642525499124>
<6931.248576754533 374.6138926180362>
<7622.165647967301 433.6659726960692>
<8345.534521512336 498.59516901128586>
<9101.290278070821 569.6752836109515>
<9889.364915771639 647.1791964360305>
<10709.687365134892 731.3788176001401>
<11562.183504975474 822.545039897182>
<12446.776179264878 920.9476915612013>
<13363.385214948792 1026.8554893021217>
<14311.927440717285 1140.5359916410787>
<15292.316706723732 1262.255552569123>
<16304.46390524789 1392.2792755530943>
<17348.276992297855 1530.8709679124706>
<18423.66101014487 1678.2930955909708>
<19530.518110784305 1834.806738346646>
<20668.747580315296 2000.671545384123>
<21838.245864230925 2176.1456914525606>
<23038.906593610012 2361.485833432759>
<24270.620612200903 2556.947067436713>
<25533.276004386855 2762.7828864427174>
<26826.758124022013 2979.2451384889378>
<28150.949624126104 3206.583985448121>
<29505.730487425368 3445.0478624058737>
<30890.978057726483 3694.883437664641>
<32306.56707210956 3956.3355733952217>
<33752.36969392554 4229.64728695731>
<35228.25554658273 4515.059712910199>
<36734.09174810643 4812.812065734387>
<38269.742946454986 5123.141603284417>
<39835.07135557495 5446.283590992847>
<41429.93679217745 5782.471266844768>
<43054.19671321699 6131.935807141821>
<44707.70625405373 6494.906293074128>
<46390.31826727921 6871.609678118045>
<48101.88336218524 7262.270756277048>
<49842.24994485504 7667.112131182532>
<51611.26425885506 8086.354186070643>
<53408.770426505536 8520.215054650698>
<55234.610490707244 8968.910592880065>
<57088.624457301456 9432.654351659721>
<58970.650337939696 9911.657550464046>
<60880.52419343938 10406.129051917687>
<62818.08017760106 10916.27533733163>
<64783.15058146269 11442.300483209874>
<66775.56587796568 11984.406138737384>
