<1.4960e+11 0.0000e+00>
<1.4959629497613806E11 7.45E8>
<1.4958888488274554E11 1.4899815494428673E9>
<1.4957776976631937E11 2.2349261968625984E9>
<1.4956294976553436E11 2.9798154903465266E9>
<1.4954442511125327E11 3.7246309779976797E9>
<1.495221961265344E11 4.469354208397278E9>
<1.494962632266369E11 5.213966731067355E9>
<1.4946662691902365E11 5.958450096933503E9>
<1.4943328780336172E11 6.702785858787718E9>
<1.4939624657152057E11 7.44695557175134E9>
<1.4935550400756772E11 8.190940793738083E9>
<1.493110609877621E11 8.934723085917128E9>
<1.4926291848054504E11 9.678284013176287E9>
<1.4921107754652893E11 1.0421605144585205E10>
<1.4915553933848334E11 1.1164668053858614E10>
<1.490963051013189E11 1.1907454319819603E10>
<1.4903337617206873E11 1.264994552686291E10>
<1.4896675397986746E11 1.3392123265418207E10>
<1.48896440045928E11 1.4133969132413397E10>
<1.488224359835158E11 1.4875464731737865E10>
<1.4874474349792078E11 1.5616591674705719E10>
<1.4866336438642682E11 1.635733158051897E10>
<1.4857830053827902E11 1.7097666076730675E10>
<1.4848955393464844E11 1.7837576799707985E10>
<1.483971266485945E11 1.857704539509514E10>
<1.483010208450251E11 1.931605351827635E10>
<1.4820123878065405E11 2.005458283483858E10>
<1.480977828039567E11 2.0792615021034233E10>
<1.4799065535512256E11 2.1530131764243656E10>
<1.47879858966006E11 2.226711476343755E10>
<1.4776539626007443E11 2.3003545729639206E10>
<1.4764726995235397E11 2.373940638638657E10>
<1.4752548284937308E11 2.447467847019413E10>
<1.4740003784910342E11 2.520934373101461E10>
<1.4727093794089877E11 2.594338393270046E10>
<1.471381862054312E11 2.6676780853465115E10>
<1.470017858146252E11 2.7409516286344032E10>
<1.4686174003158914E11 2.8141572039655483E10>
<1.467180522105446E11 2.887292993746108E10>
<1.4657072579675333E11 2.9603571820026024E10>
<1.4641976432644174E11 3.03334795442791E10>
<1.4626517142672308E11 3.106263498427233E10>
<1.4610695081551727E11 3.1791020031640358E10>
<1.459451063014684E11 3.2518616596059475E10>
<1.4577964178385992E11 3.3245406605706326E10>
<1.4561056125252728E11 3.397137200771627E10>
<1.454378687877685E11 3.469649476864137E10>
<1.4526156856025217E11 3.542075687490801E10>
<1.4508166483092325E11 3.614414033327411E10>
<1.4489816195090643E11 3.686662717128595E10>
<1.447110643614072E11 3.75881994377346E10>
<1.445203765936106E11 3.830883920311186E10>
<1.443261032685775E11 3.902852856006585E10>
<1.4412824909713882E11 3.9747249623856026E10>
<1.4392681887978705E11 4.046498453280785E10>
<1.4372181750656573E11 4.118171544876691E10>
<1.435132499569565E11 4.1897424557552536E10>
<1.433011212997638E11 4.261209406941097E10>
<1.430854366929972E11 4.332570621946796E10>
<1.4286620138375156E11 4.403824326818082E10>
<1.4264342070808478E11 4.474968750179001E10>
<1.424171000908931E11 4.546002123277009E10>
<1.4218724504578433E11 4.616922680028011E10>
<1.4195386117494858E11 4.687728657061347E10>
<1.417169541690267E11 4.758418293764709E10>
<1.4147652980697656E11 4.828989832329005E10>
<1.4123259395593677E11 4.8994415177931595E10>
<1.409851525710883E11 4.969771598088847E10>
<1.407342116955137E11 5.039978324085164E10>
<1.4047977746005408E11 5.11005994963323E10>
<1.4022185608316364E11 5.180014731610729E10>
<1.3996045387076215E11 5.249840929966376E10>
<1.3969557721608493E11 5.319536807764312E10>
<1.394272325995306E11 5.3891006312284386E10>
<1.391554265885066E11 5.458530669786667E10>
<1.3888016583727228E11 5.5278251961151E10>
<1.3860145708677994E11 5.596982486182141E10>
<1.3831930716451334E11 5.666000819292519E10>
<1.380337229843241E11 5.734878478131247E10>
<1.3774471154626578E11 5.803613748807489E10>
<1.3745227993642566E11 5.87220492089836E10>
<1.3715643532675432E11 5.9406502874926346E10>
<1.3685718497489288E11 6.008948145234378E10>
<1.3655453622399805E11 6.077096794366494E10>
<1.3624849650256483E11 6.145094538774184E10>
<1.3593907332424716E11 6.2129396860283226E10>
<1.3562627428767603E11 6.280630547428748E10>
<1.3531010707627557E11 6.34816543804746E10>
<1.3499057945807687E11 6.415542676771728E10>
<1.3466769928552946E11 6.48276058634711E10>
<1.3434147449531067E11 6.549817493420381E10>
<1.3401191310813264E11 6.616711728582365E10>
<1.3367902322854729E11 6.683441626410669E10>
<1.3334281304474886E11 6.7500055255123314E10>
<1.3300329082837439E11 6.816401768566362E10>
<1.3266046493430194E11 6.882628702366191E10>
<1.3231434380044658E11 6.948684677862015E10>
<1.3196493594755418E11 7.014568050203046E10>
<1.3161224997899307E11 7.08027717877965E10>
<1.3125629458054341E11 7.145810427265395E10>
<1.3089707852018445E11 7.211166163658984E10>
<1.3053461064787955E11 7.27634276032609E10>
<1.301688998953591E11 7.341338594041072E10>
<1.2979995527590118E11 7.406152046028606E10>
<1.294277858841101E11 7.470781502005179E10>
<1.2905240089569278E11 7.535225352220496E10>
<1.2867380956723293E11 7.599481991498761E10>
<1.2829202123596313E11 7.663549819279855E10>
<1.279070453195348E11 7.727427239660391E10>
<1.275188913157859E11 7.791112661434662E10>
<1.2712756880250658E11 7.854604498135469E10>
<1.2673308743720271E11 7.917901168074832E10>
<1.263354569568573E11 7.981001094384584E10>
<1.2593468717768968E11 8.043902705056845E10>
<1.2553078799491273E11 8.106604432984375E10>
<1.2512376938248793E11 8.169104716000801E10>
<1.2471364139287828E11 8.23140199692073E10>
<1.2430041415679918E11 8.293494723579732E10>
<1.2388409788296716E11 8.355381348874194E10>
<1.2346470285784666E11 8.417060330801059E10>
<1.2304223944539455E11 8.478530132497424E10>
<1.2261671808680269E11 8.53978922228002E10>
<1.2218814930023848E11 8.600836073684557E10>
<1.2175654368058322E11 8.661669165504935E10>
<1.2132191189916852E11 8.722286981832333E10>
<1.2088426470351062E11 8.782688012094157E10>
<1.204436129170427E11 8.842870751092853E10>
<1.1999996743884514E11 8.902833699044586E10>
<1.195533392433738E11 8.962575361617789E10>
<1.1910373938018622E11 9.02209424997156E10>
<1.1865117897366585E11 9.081388880793942E10>
<1.1819566922274431E11 9.140457776340036E10>
<1.1773722140062157E11 9.199299464469995E10>
<1.1727584685448424E11 9.25791247868687E10>
<1.1681155700522182E11 9.316295358174303E10>
<1.1634436334714096E11 9.374446647834093E10>
<1.1587427744767787E11 9.432364898323601E10>
<1.1540131094710861E11 9.49004866609302E10>
<1.1492547555825755E11 9.547496513422491E10>
<1.1444678306620387E11 9.60470700845907E10>
<1.1396524532798605E11 9.661678725253552E10>
<1.1348087427230453E11 9.718410243797139E10>
<1.1299368189922243E11 9.774900150057956E10>
<1.1250368027986429E11 9.831147036017418E10>
<1.1201088155611299E11 9.887149499706442E10>
<1.1151529794030475E11 9.942906145241501E10>
<1.110169417149222E11 9.998415582860524E10>
<1.1051582523228564E11 1.0053676428958644E11>
<1.1001196091424242E11 1.0108687306123782E11>
<1.0950536125185434E11 1.0163446843172072E11>
<1.089960388050834E11 1.021795367518313E11>
<1.0848400620247556E11 1.0272206443535161E11>
<1.0796927614084262E11 1.0326203795939902E11>
<1.074518613849425E11 1.0379944386477403E11>
<1.0693177476715744E11 1.0433426875630646E11>
<1.064090291871705E11 1.0486649930319994E11>
<1.0588363761164032E11 1.0539612223937482E11>
<1.0535561307387396E11 1.0592312436380933E11>
<1.0482496867349806E11 1.0644749254087912E11>
<1.0429171757612814E11 1.0696921370069508E11>
<1.0375587301303622E11 1.0748827483943945E11>
<1.0321744828081662E11 1.0800466301970027E11>
<1.0267645674104997E11 1.0851836537080405E11>
<1.0213291181996564E11 1.0902936908914677E11>
<1.0158682700810222E11 1.0953766143852315E11>
<1.0103821585996649E11 1.1004322975045406E11>
<1.0048709199369052E11 1.105460614245123E11>
<9.993346909068715E10 1.110461439286466E11>
<9.937736089530374E10 1.1154346479950378E11>
<9.881878121447429E10 1.1203801164274916E11>
<9.825774391736975E10 1.1252977213338518E11>
<9.769426293504686E10 1.1301873401606824E11>
<9.712835226009517E10 1.1350488510542368E11>
<9.65600259462825E10 1.1398821328635898E11>
<9.598929810819875E10 1.1446870651437512E11>
<9.541618292089801E10 1.1494635281587608E11>
<9.48406946195392E10 1.1542114028847653E11>
<9.426284749902496E10 1.1589305710130762E11>
<9.368265591363904E10 1.1636209149532094E11>
<9.3100134276682E10 1.168282317835906E11>
<9.25152970601055E10 1.1729146635161346E11>
<9.192815879414482E10 1.1775178365760735E11>
<9.133873406694998E10 1.1820917223280751E11>
<9.074703752421524E10 1.1866362068176112E11>
<9.015308386880707E10 1.1911511768261986E11>
<8.955688786039062E10 1.1956365198743051E11>
<8.895846431505469E10 1.2000921242242377E11>
<8.835782810493506E10 1.2045178788830095E11>
<8.775499415783652E10 1.2089136736051884E11>
<8.71499774568533E10 1.213279398895726E11>
<8.654279303998804E10 1.2176149460127663E11>
<8.593345599976929E10 1.2219202069704349E11>
<8.532198148286761E10 1.2261950745416092E11>
<8.470838468971016E10 1.2304394422606676E11>
<8.409268087409389E10 1.2346532044262187E11>
<8.347488534279733E10 1.2388362561038118E11>
<8.285501345519092E10 1.2429884931286255E11>
<8.223308062284596E10 1.2471098121081375E11>
<8.160910230914224E10 1.2512001104247734E11>
<8.098309402887416E10 1.2552592862385352E11>
<8.035507134785559E10 1.2592872384896095E11>
<7.972504988252336E10 1.2632838669009555E11>
<7.909304529953934E10 1.2672490719808714E11>
<7.845907331539127E10 1.2711827550255415E11>
<7.782314969599223E10 1.2750848181215616E11>
<7.718529025627878E10 1.2789551641484438E11>
<7.654551085980783E10 1.2827936967811006E11>
<7.590382741835223E10 1.2866003204923085E11>
<7.526025589149504E10 1.2903749405551492E11>
<7.461481228622258E10 1.2941174630454314E11>
<7.396751265651619E10 1.29782779484409E11>
<7.331837310294276E10 1.3015058436395653E11>
<7.26674097722441E10 1.3051515179301604E11>
<7.20146388569249E10 1.3087647270263765E11>
<7.13600765948397E10 1.3123453810532283E11>
<7.070373926877858E10 1.315893390952537E11>
<7.004564320605154E10 1.3194086684852013E11>
<6.938580477807195E10 1.3228911262334482E11>
<6.872424039993861E10 1.3263406776030609E11>
<6.806096653001684E10 1.3297572368255853E11>
<6.7395999669518265E10 1.3331407189605151E11>
<6.672935636207963E10 1.3364910398974547E11>
<6.606105319334039E10 1.3398081163582597E11>
<6.5391106790519264E10 1.3430918658991568E11>
<6.471953382198964E10 1.3463422069128403E11>
<6.404635099685395E10 1.3495590586305472E11>
<6.3371575064516975E10 1.35274234112411E11>
<6.269522281425805E10 1.3558919753079869E11>
<6.201731107480227E10 1.359007882941271E11>
<6.133785671389067E10 1.3620899866296756E11>
<6.065687663784934E10 1.3651382098274977E11>
<5.99743877911576E10 1.3681524768395601E11>
<5.92904071560151E10 1.3711327128231291E11>
<5.860495175190802E10 1.3740788437898116E11>
<5.791803863517424E10 1.376990796607428E11>
<5.722968489856758E10 1.3798684990018637E11>
<5.6539907670821106E10 1.3827118795588974E11>
<5.584872411620945E10 1.3855208677260062E11>
<5.515615143411029E10 1.388295393814149E11>
<5.446220685856484E10 1.3910353889995258E11>
<5.376690765783752E10 1.3937407853253156E11>
<5.3070271133974655E10 1.39641151570339E11>
<5.237231462236242E10 1.3990475139160046E11>
<5.167305549128379E10 1.401648714617467E11>
<5.097251114147477E10 1.4042150533357822E11>
<5.0270699005679695E10 1.406746466474274E11>
<4.956763654820578E10 1.4092428913131845E11>
<4.886334126447681E10 1.41170426601125E11>
<4.815783068058605E10 1.4141305296072525E11>
<4.745112235284843E10 1.4165216220215497E11>
<4.674323386735182E10 1.4188774840575806E11>
<4.603418283950773E10 1.4211980574033475E11>
<4.5323986913601074E10 1.4234832846328757E11>
<4.4612663762339386E10 1.4257331092076492E11>
<4.390023108640115E10 1.4279474754780228E11>
<4.318670661398357E10 1.4301263286846103E11>
<4.24721081003495E10 1.4322696149596506E11>
<4.175645332737385E10 1.4343772813283484E11>
<4.103976010308917E10 1.436449275710193E11>
<4.0322046261230705E10 1.4384855469202515E11>
<3.960332966078071E10 1.440486044670441E11>
<3.888362818551219E10 1.4424507195707742E11>
<3.8162959743532036E10 1.4443795231305835E11>
<3.744134226682349E10 1.44627240775972E11>
<3.671879371078807E10 1.448129326769729E11>
<3.599533205378694E10 1.4499502343750024E11>
<3.527097529668162E10 1.451735085693906E11>
<3.4545741462374245E10 1.453483836749884E11>
<3.3819648595347225E10 1.4551964444725394E11>
<3.30927147612024E10 1.4568728666986896E11>
<3.2364958046199673E10 1.4585130621733987E11>
<3.1636396556795143E10 1.4601169905509866E11>
<3.0907048419178757E10 1.4616846123960123E11>
<3.0176931778811474E10 1.4632158891842346E11>
<2.9446064799961987E10 1.4647107833035483E11>
<2.8714465665242966E10 1.466169258054896E11>
<2.7982152575146904E10 1.4675912776531564E11>
<2.7249143747581505E10 1.468976807228008E11>
<2.6515457417404682E10 1.4703258128247693E11>
<2.578111183595915E10 1.471638261405213E11>
<2.5046125270606632E10 1.4729141208483594E11>
<2.4310516004261723E10 1.4741533599512418E11>
<2.3574302334925354E10 1.475355948429651E11>
<2.2837502575217934E10 1.4765218569188525E11>
<2.2100135051912163E10 1.4776510569742828E11>
<2.1362218105465523E10 1.4787435210722183E11>
<2.062377008955246E10 1.4797992226104214E11>
<1.9884809370596275E10 1.4808181359087634E11>
<1.914535432730075E10 1.4818002362098206E11>
<1.8405423350181484E10 1.4827454996794482E11>
<1.7665034841096992E10 1.4836539034073294E11>
<1.6924207212779564E10 1.4845254254074988E11>
<1.618295888836589E10 1.4853600446188434E11>
<1.5441308300927483E10 1.4861577409055783E11>
<1.4699273893000889E10 1.4869184950576984E11>
<1.395687411611772E10 1.4876422887914053E11>
<1.3214127430334507E10 1.4883291047495102E11>
