<2.2790e+11 0.0000e+00>
<2.2789840350700397E11 6.025E8>
<2.2789521051538525E11 1.204995779555552E9>
<2.2789042103062796E11 1.8074831181623964E9>
<2.2788403506932733E11 2.409957795285363E9>
<2.2787605265919006E11 3.0124155903872747E9>
<2.2786647383903467E11 3.614852282957854E9>
<2.2785529865879163E11 4.217263652542631E9>
<2.2784252717950348E11 4.819645478771858E9>
<2.2782815947332498E11 5.421993541389421E9>
<2.2781219562352292E11 6.024303620281757E9>
<2.2779463572447617E11 6.626571495506771E9>
<2.277754798816754E11 7.228792947322758E9>
<2.277547282117229E11 7.830963756217325E9>
<2.2773238084233215E11 8.433079702936317E9>
<2.2770843791232748E11 9.035136568512741E9>
<2.276828995716436E11 9.637130134295692E9>
<2.2765576598132492E11 1.0239056181979286E10>
<2.2762703731352512E11 1.0840910493631586E10>
<2.2759671375150623E11 1.1442688851723536E10>
<2.2756479548963794E11 1.204438703915789E10>
<2.2753128273339676E11 1.2646000839298151E10>
<2.27496175699365E11 1.32475260359975E10>
<2.2745947461522977E11 1.3848958413627728E10>
<2.2742117971978195E11 1.445029375710818E10>
<2.2738129126291498E11 1.5051527851934679E10>
<2.273398095056236E11 1.5652656484208471E10>
<2.2729673472000253E11 1.6253675440665152E10>
<2.2725206718924512E11 1.6854580508703608E10>
<2.2720580720764185E11 1.7455367476414944E10>
<2.2715795508057874E11 1.8056032132611427E10>
<2.2710851112453583E11 1.865657026685541E10>
<2.270574756670854E11 1.925697766948827E10>
<2.270048490468902E11 1.985725013165933E10>
<2.2695063161370166E11 2.0457383445354797E10>
<2.2689482372835794E11 2.1057373403426693E10>
<2.268374257627819E11 2.1657215799621777E10>
<2.2677843809997903E11 2.2256906428610462E10>
<2.2671786113403543E11 2.2856441086015755E10>
<2.2665569527011542E11 2.3455815568442165E10>
<2.265919409244593E11 2.4055025673504623E10>
<2.2652659852438098E11 2.46540671998574E10>
<2.2645966850826562E11 2.5252935947223015E10>
<2.26391151325567E11 2.5851627716421154E10>
<2.2632104743680493E11 2.645013830939757E10>
<2.2624935731356265E11 2.7048463529252995E10>
<2.2617608143848404E11 2.764659918027202E10>
<2.261012203052708E11 2.8244541067952007E10>
<2.260247744186796E11 2.8842284999031982E10>
<2.2594674429451904E11 2.943982678152152E10>
<2.2586713045964667E11 3.0037162224729618E10>
<2.2578593345196588E11 3.0634287139293594E10>
<2.2570315382042267E11 3.1231197337207947E10>
<2.256187921250024E11 3.1827888631853226E10>
<2.255328489367265E11 3.24243568380249E10>
<2.2544532483764896E11 3.302059777196221E10>
<2.2535622042085294E11 3.3616607251377037E10>
<2.2526553629044717E11 3.4212381095482723E10>
<2.2517327306156235E11 3.480791512502294E10>
<2.2507943136034735E11 3.5403205162300514E10>
<2.2498401182396558E11 3.599824703120624E10>
<2.2488701510059097E11 3.659303655724772E10>
<2.2478844184940424E11 3.718756956757818E10>
<2.2468829274058865E11 3.778184189102527E10>
<2.2458656845532617E11 3.8375849358119865E10>
<2.2448326968579315E11 3.896958780112486E10>
<2.2437839713515622E11 3.956305305406396E10>
<2.242719515175679E11 4.0156240952750435E10>
<2.2416393355816232E11 4.074914733481593E10>
<2.240543439930507E11 4.13417680397392E10>
<2.239431835693169E11 4.193409890887485E10>
<2.2383045304501276E11 4.252613578548211E10>
<2.237161531891535E11 4.3117874514753555E10>
<2.2360028478171295E11 4.370931094384383E10>
<2.2348284861361877E11 4.4300440921898346E10>
<2.2336384548674753E11 4.489126030008205E10>
<2.2324327621391974E11 4.548176493160804E10>
<2.231211416188949E11 4.607195067176632E10>
<2.2299744253636633E11 4.666181337795244E10>
<2.2287217981195602E11 4.725134890969616E10>
<2.2274535430220938E11 4.784055312869013E10>
<2.2261696687458987E11 4.842942189881852E10>
<2.2248701840747372E11 4.9017951086185646E10>
<2.2235550979014432E11 4.9606136559144615E10>
<2.2222244192278674E11 5.019397418832592E10>
<2.2208781571648218E11 5.078145984666604E10>
<2.2195163209320215E11 5.136858940943603E10>
<2.2181389198580286E11 5.1955358754270096E10>
<2.2167459633801923E11 5.254176376119416E10>
<2.215337461044591E11 5.312780031265441E10>
<2.2139134225059726E11 5.3713464293545845E10>
<2.2124738575276923E11 5.4298751591240776E10>
<2.211018775981653E11 5.488365809561736E10>
<2.2095481878482434E11 5.5468179699088104E10>
<2.2080621032162738E11 5.605231229662833E10>
<2.206560532282914E11 5.663605178580464E10>
<2.2050434853536288E11 5.721939406680343E10>
<2.203510972842112E11 5.780233504245925E10>
<2.201963005270223E11 5.8384870618283295E10>
<2.200399593267918E11 5.89669967024918E10>
<2.1988207475731845E11 5.9548709206034424E10>
<2.197226479031973E11 6.013000404262267E10>
<2.1956167985981284E11 6.0710877128758224E10>
<2.1939917173333206E11 6.1291324383761314E10>
<2.1923512464069748E11 6.1871341729799065E10>
<2.1906953970962006E11 6.24509250919138E10>
