<5.7900e+10 0.0000e+00>
<5.78752667286631E10 1.1975E9>
<5.782579492985129E10 2.3944881309535027E9>
<5.7751589981891594E10 3.5904520896775484E9>
<5.765266792231076E10 4.784879361438484E9>
<5.752905546785508E10 5.977257443753422E9>
<5.738079002973975E10 7.167074071305951E9>
<5.720791972407404E10 8.353817441872203E9>
<5.701050337741107E10 9.536976443150919E9>
<5.678861052737319E10 1.071604088038881E10>
<5.654232141830667E10 1.1890501704690138E10>
<5.6271726991921844E10 1.3059851241897219E10>
<5.597692887287766E10 1.4223583421926292E10>
<5.565803934927244E10 1.5381194008441093E10>
<5.531518134800548E10 1.6532180828744392E10>
<5.49484884049773E10 1.7676044003765762E10>
<5.4558104630099365E10 1.881228617802194E10>
<5.414418466708727E10 1.99404127494243E10>
<5.370689364801503E10 2.1059932098806305E10>
<5.324640714261105E10 2.2170355819042004E10>
<5.276291110228028E10 2.3271198943625343E10>
<5.2256601798840385E10 2.43619801745784E10>
<5.172768575796356E10 2.544222210955548E10>
<5.117637968731934E10 2.651145146800876E10>
<5.060291039941754E10 2.7569199316280056E10>
<5.000751472915442E10 2.86150012914824E10>
<4.9390439446069084E10 2.9648397824034138E10>
<4.875194116132119E10 3.066893435870774E10>
<4.8092286229405075E10 3.1676161574054752E10>
<4.741175064461954E10 3.2669635600067974E10>
<4.67106199323168E10 3.3648918233941704E10>
<4.598918903495824E10 3.4613577153790565E10>
<4.524776219300878E10 3.556318613018762E10>
<4.44866528207063E10 3.649732523538245E10>
<4.370618337674639E10 3.7415581050060234E10>
<4.290668522992742E10 3.831754686750343E10>
<4.208849851980509E10 3.920282289501797E10>
<4.125197201240997E10 4.007101645248684E10>
<4.0397462951085945E10 4.092174216791493E10>
<3.952533690251179E10 4.175462216982979E10>
<3.863596759797241E10 4.2569286276404396E10>
<3.7729736769950714E10 4.336537218116942E10>
<3.680703398411507E10 4.414252563518388E10>
<3.5868256466781975E10 4.4900400625534996E10>
<3.491380892793747E10 4.563865955003965E10>
<3.3944103379904964E10 4.635697338802219E10>
<3.2959558951751587E10 4.705502186704524E10>
<3.196060169952882E10 4.7732493625472755E10>
<3.094766441244747E10 4.838908637074672E10>
<2.992118641509075E10 4.902450703326202E10>
<2.8881613365773216E10 4.963847191572628E10>
