<1.0820e+11 0.0000e+00>
<1.0819291764939906E11 8.75E8>
<1.0817875271578697E11 1.7499427187074149E9>
<1.0815750542924838E11 2.624770867302328E9>
<1.0812917648253027E11 3.499427153160241E9>
<1.0809376703117957E11 4.373854283578022E9>
<1.0805127869365105E11 5.2479949695028105E9>
<1.0800171355138531E11 6.121791929263657E9>
<1.0794507414885693E11 6.995187892305646E9>
<1.0788136349359256E11 7.868125602926278E9>
<1.0781058505615906E11 8.740547824013866E9>
<1.0773274277012163E11 9.612397340787706E9>
<1.0764784103197179E11 1.048361696453979E10>
<1.0755588470102519E11 1.1354149536377802E10>
<1.0745687909928937E11 1.2223937930969185E10>
<1.0735083001130115E11 1.3092925060285997E10>
<1.0723774368393385E11 1.3961053877350348E10>
<1.0711762682617424E11 1.482826737998014E10>
<1.069904866088691E11 1.5694508614534906E10>
<1.0685633066444145E11 1.6559720679661444E10>
<1.0671516708657646E11 1.7423846730039055E10>
<1.0656700442987686E11 1.8286829980124104E10>
<1.0641185170948795E11 1.914861370789365E10>
<1.0624971840069214E11 2.0009141258587925E10>
<1.0608061443847305E11 2.0868356048451385E10>
<1.0590455021704903E11 2.1726201568472084E10>
<1.057215365893762E11 2.2582621388119137E10>
<1.0553158486662099E11 2.3437559159078E10>
<1.0533470681760202E11 2.4290958618983322E10>
<1.0513091466820152E11 2.5142763595149117E10>
<1.0492022110074611E11 2.5992918008295998E10>
<1.0470263925335701E11 2.684136587627523E10>
<1.0447818271926967E11 2.768805131778932E10>
<1.0424686554612277E11 2.853291855610893E10>
<1.0400870223521669E11 2.93759119227858E10>
<1.0376370774074126E11 3.0216975861361504E10>
<1.0351189746897305E11 3.105605493107169E10>
<1.0325328727744197E11 3.189309381054564E10>
<1.0298789347406729E11 3.2728037301500805E10>
<1.0271573281626317E11 3.3560830332432133E10>
<1.0243682251001347E11 3.4391417962295876E10>
<1.0215118020891621E11 3.521974538418765E10>
<1.0185882401319728E11 3.6045757929014496E10>
<1.0155977246869374E11 3.686940106916062E10>
<1.0125404456580664E11 3.7690620422146675E10>
<1.0094165973842332E11 3.8509361754282166E10>
<1.0062263786280928E11 3.932557098431087E10>
<1.0029699925646954E11 4.013919418704892E10>
<9.99647646769798E10 4.095017759701531E10>
<9.962595532078699E10 4.1758467612054596E10>
<9.92805928219797E10 4.2564010796951454E10>
<9.892869925102824E10 4.336675388703694E10>
<9.857029711349438E10 4.416664379178613E10>
<9.820540934871103E10 4.4963627598406845E10>
<9.783405932843158E10 4.575765257541927E10>
<9.745627085544931E10 4.654866617622621E10>
<9.707206816218658E10 4.733661604267361E10>
<9.668147590925409E10 4.812145000860123E10>
<9.628451918398009E10 4.89031161033831E10>
<9.58812234989098E10 4.968156255545758E10>
<9.547161479027493E10 5.045673779584663E10>
<9.505571941643336E10 5.122859046166422E10>
<9.463356415627919E10 5.199706939961347E10>
<9.420517620762306E10 5.2762123669472275E10>
<9.377058318554295E10 5.352370254756724E10>
<9.332981312070543E10 5.428175553023558E10>
<9.288289445765746E10 5.503623233727476E10>
<9.242985605308885E10 5.5787082915379585E10>
<9.197072717406548E10 5.653425744156657E10>
<9.150553749623314E10 5.7277706326585144E10>
<9.103431710199252E10 5.80173802183157E10>
<9.055709647864496E10 5.8753230005153915E10>
<9.007390651650932E10 5.94852068193814E10>
<8.958477850701003E10 6.021326204052214E10>
<8.90897441407363E10 6.0937347298684654E10>
<8.858883550547282E10 6.165741447788955E10>
<8.808208508420175E10 6.23734157193822E10>
<8.75695257530763E10 6.3085303424930336E10>
<8.705119077936597E10 6.379303026010621E10>
<8.652711381937354E10 6.449654915755319E10>
<8.59973289163239E10 6.519581332023645E10>
<8.54618704982249E10 6.589077622467749E10>
<8.492077337570021E10 6.65813916241723E10>
<8.437407273979443E10 6.7267613551992874E10>
<8.382180415975055E10 6.794939632457178E10>
<8.326400358075977E10 6.8626694544669624E10>
<8.270070732168399E10 6.929946310452509E10>
<8.213195207275095E10 6.99676571889873E10>
<8.15577748932221E10 7.063123227863036E10>
<8.097821320903365E10 7.129014415284953E10>
<8.039330481041046E10 7.194434889293927E10>
<7.980308784945335E10 7.259380288515244E10>
<7.920760083769966E10 7.323846282374063E10>
<7.860688264365738E10 7.38782857139754E10>
<7.80009724903129E10 7.451322887515005E10>
<7.738990995261258E10 7.514324994356184E10>
<7.677373495491827E10 7.576830687547421E10>
<7.61524877684369E10 7.6388357950059E10>
<7.552620900862437E10 7.700336177231822E10>
<7.489493963256381E10 7.761327727598526E10>
<7.425872093631844E10 7.821806372640523E10>
<7.361759455225914E10 7.88176807233942E10>
<7.297160244636694E10 7.941208820407716E10>
<7.232078691551056E10 8.000124644570447E10>
<7.166519058469916E10 8.058511606844632E10>
<7.100485640431053E10 8.116365803816545E10>
<7.033982764729489E10 8.173683366916736E10>
<6.967014790635431E10 8.230460462692819E10>
<6.89958610910982E10 8.286693293079987E10>
<6.831701142517488E10 8.34237809566922E10>
<6.763364344337936E10 8.397511143973193E10>
<6.694580198873771E10 8.452088747689836E10>
<6.6253532209568085E10 8.506107252963528E10>
<6.555687955651853E10 8.55956304264392E10>
<6.485588977958195E10 8.612452536542331E10>
<6.415060892508821E10 8.664772191685742E10>
<6.3441083332673805E10 8.716518502568318E10>
<6.272735963222909E10 8.76768800140047E10>
<6.2009484740823364E10 8.818277258355418E10>
<6.128750585960807E10 8.868282881813249E10>
<6.056147047069818E10 8.917701518602428E10>
<5.983142633403208E10 8.966529854238759E10>
<5.909742148421017E10 9.014764613161769E10>
<5.835950422731226E10 9.062402558968497E10>
<5.7617723137694214E10 9.109440494644653E10>
<5.687212705476378E10 9.155875262793158E10>
<5.612276507973606E10 9.201703745860007E10>
<5.536968657236873E10 9.246922866357465E10>
<5.461294114767721E10 9.291529587084563E10>
<5.385257867263011E10 9.335520911344873E10>
<5.3088649262825134E10 9.378893883161551E10>
<5.232120327914556E10 9.421645587489622E10>
<5.155029132439777E10 9.463773150425494E10>
<5.077596423992983E10 9.505273739413669E10>
<4.999827310223151E10 9.546144563450656E10>
<4.9217269219515854E10 9.586382873286044E10>
<4.8433004128282745E10 9.62598596162073E10>
<4.764552958986443E10 9.664951163302283E10>
<4.685489758695351E10 9.703275855517421E10>
<4.606116032011343E10 9.74095745798159E10>
<4.5264370204271935E10 9.777993433125626E10>
<4.446457986519753E10 9.814381286279474E10>
<4.366184213595933E10 9.85011856585297E10>
<4.28562100533705E10 9.885202863513637E10>
<4.204773685441559E10 9.919631814361513E10>
<4.123647597266196E10 9.953403097100967E10>
<4.042248103465558E10 9.986514434209505E10>
